disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
170,"IRIX 4.0.2",812-0064-004,,1992-03-01,"IRIX 4.0.2",,jrra,
258,"IRIX 4.0.2",812-0064-002,812-0064-002,1992-02-01,"IRIX 4.0.2",,jrra,2021-05-23
172,"IRIX 4.0.4",812-0078-004,,1992-03-01,"IRIX Maintenance 4.0.4",,jrra,
168,"IRIX 4.0.4",812-0033-007,,1992-03-01,"IRIX Update 4.0.4",,jrra,
266,"IRIX 4.0.5",812-0045-010,812-0045-010,1993-10-01,"Diagnostic 4.0.5J",,jrra,2021-05-23
259,"IRIX 4.0.5",812-0064-012,812-0064-012,1992-09-01,"IRIX 4.0.5 F","INDIGO/REALITY ENGINE ONLY",jrra,2021-05-23
18,"IRIX 4.0.5",812-0064-018,812-0064-018,1993-04-01,"IRIX 4.0.5H","Indigo2, Reality Engine with MCO, Crimson Extreme and Challenge M Only",jrra,
19,"IRIX 4.0.5",812-0250-002,812-0250-002,1993-12-01,"IRIX 4.0.5H and 4.0.5IOP R4400 Patch",,jrra,
173,"IRIX 4.0.5",812-0078-006,,1992-07-01,"IRIX Maintenance 4.0.5",,jrra,
257,"IRIX 4.0.5",812-0078-010,812-0078-010,1992-09-01,"IRIX Maintenance 4.0.5 F",,jrra,2021-05-23
59,"IRIX 4.0.5",812-0078-015,812-0078-015,1993-03-01,"IRIX Maintenance 4.0.5 H","Indigo2, Reality Engine, Crimson Extreme and Challenge M Only",jrra,
164,"IRIX 5.0",812-0129-001,,1993-03-01,"IRIS Development Option 5.0",,jrra,
178,"IRIX 5.0",812-0119-001,,1993-02-01,"IRIX 5.0","Onyx workstations & Challenge servers only",jrra,
159,"IRIX 5.0",812-0128-001,,1993-03-01,"Network File System 5.0","aka NFS for IRIX 5.0",jrra,
158,"IRIX 5.0",812-0128-002,,1993-06-01,"Network File System 5.0.1","aka NFS for IRIX 5.0.1",jrra,
185,"IRIX 5.1",812-0129-003,812-0129-003,1993-08-01,"IRIS Development Option 5.1","came with errata sheet",jrra,
125,"IRIX 5.1",812-0128-003,,1993-08-01,"Network File System 5.1","aka NFS for IRIX 5.1",jrra,
20,"IRIX 5.1.1",812-0119-004,,1993-09-01,"IRIX 5.1.1","Indigo2 XL, Indigo2 with Galileo Video, Indigo with Galileo Video, Challenge and Onyx Only",jrra,
199,"IRIX 5.1.1",812-0238-003,,1993-12-01,"IRIX 5.1.1 Patch #3",,jrra,
179,"IRIX 5.1.1",812-0238-001,,1993-09-01,"IRIX Patch 5.1.1.1",,jrra,
180,"IRIX 5.1.1",812-0238-002,,1993-11-01,"IRIX Patch 5.1.1.2",,jrra,
120,"IRIX 5.1.1",812-0232-002,,1993-09-01,"Indy IRIX 5.1.1",,jrra,
21,"IRIX 5.2",812-0119-005,812-0119-005,1994-03-01,"IRIX 5.2",,jrra,
181,"IRIX 5.2",812-5.2beta-002,,1994-02-01,"IRIX 5.2 Beta II","Final Qualification",jrra,
110,"IRIX 5.2",812-0290-002,,1999-01-01,"IRIX 5.2 Patches #2",,jrra,
121,"IRIX 5.2",812-0279-003,,1994-08-01,"IRIX 5.2 for Indy R4600SC/XZ & Presenter",,jrra,
126,"IRIX 5.2",812-0128-004,,1994-03-01,"Network File System 5.2","aka NFS for IRIX 5.2",jrra,
184,"IRIX 5.3",812-0451-001,813-0451-001,1995-12-01,"5.3 Patches for Indigo2 250Mhz R4400 EX/XZ/XL",,jrra,
16,"IRIX 5.3",812-0129-005,,1994-11-01,"IRIS Development Option 5.3",,jrra,
