disc_id,name,cd_pn,case_pn,date,name,note,contributor,date_added
78,Supportfolio,812-0603-003,,1997-04-01,"Supportfolio IRIX 6.2 Patches",,jrra,
284,"Trusted IRIX 4",812-0069-004,813-0069-004,1995-02-01,"Trusted IRIS Development Option 4.0.5EPL",,jrra,2021-05-23
297,"Trusted IRIX 4",812-0068-004,813-0068-004,1995-02-01,"Trusted IRIX/B 4.0.5EPL",,jrra,2021-05-23
260,WebFORCE,812-0421-001,812-0421-001,1995-09-01,"Gauntlet 3.0",,jrra,2021-05-23
269,WebFORCE,812-0331-001,812-0331-001,1995-02-01,"WebFORCE Author 1.0",,jrra,2021-05-23
268,WebFORCE,812-0331-002,812-0331-002,1995-05-01,"WebFORCE Author 1.0.1",,jrra,2021-05-23
140,WebFORCE,812-0633-001,813-0633-001,1996-12-01,"WebFORCE Auxiliary December 1996","for IRIX 5.3, 6.2, 6.3, and 6.4",jrra,
189,WebFORCE,812-0633-002,813-0633-002,1997-08-01,"WebFORCE Auxiliary August 1997","for IRIX 6.2, 6.3 and 6.4",jrra,
144,"IRIX 6.5 Beta",812-0747-001,814-0747-001,1998-03-01,"IRIX 6.5 Beta Applications",,jrra,
237,"IRIX 6.5 Beta",812-0751-001,814-0751-001,1998-03-01,"IRIX 6.5 Beta Base Documentation",,jrra,2021-02-06
145,"IRIX 6.5 Beta",812-0749-001,814-0749-001,1998-03-01,"IRIX 6.5 Beta Compiler Foundation",,jrra,
142,"IRIX 6.5 Beta",812-0748-001,814-0748-001,1998-03-01,"IRIX 6.5 Beta Development",,jrra,
102,"IRIX 6.5 Beta",812-0745-001,814-0745-001,1998-03-01,"IRIX 6.5 Beta Foundation (1 of 2)",,jrra,
103,"IRIX 6.5 Beta",812-0746-001,814-0746-001,1998-03-01,"IRIX 6.5 Beta Foundation (2 of 2)",,jrra,
141,"IRIX 6.5 Beta",812-0744-001,814-0744-001,1998-03-01,"IRIX 6.5 Beta Installation",,jrra,
117,"IRIX 6.5 Beta",812-0753-001,814-0753-001,1998-03-01,"IRIX 6.5 Beta O2 Demos",,jrra,
143,"IRIX 6.5 Beta",812-0752-001,814-0752-001,1998-03-01,"IRIX 6.5 Beta OCTANE Demos",,jrra,
243,"IRIX 6.5",812-0761-002,,1998-06-01,"IRIX 6.5 Applications June 1998",,jrra,2021-03-18
123,"IRIX 6.5",812-0779-001,,1998-06-01,"IRIX 6.5 Base Documentation",,jrra,
36,"IRIX 6.5",812-0757-002,,1998-06-01,"IRIX 6.5 Development Foundation",,jrra,
209,"IRIX 6.5",812-0757-003,,1999-05-01,"IRIX 6.5 Development Foundation 1.2",,jrra,2020-07-14
37,"IRIX 6.5",812-0766-002,,1998-06-01,"IRIX 6.5 Development Libraries",,jrra,
38,"IRIX 6.5",812-0766-003,,2002-02-01,"IRIX 6.5 Development Libraries",,jrra,
39,"IRIX 6.5",812-0759-002,,1998-06-01,"IRIX 6.5 Foundation 1",,jrra,
40,"IRIX 6.5",812-0760-002,,1998-06-01,"IRIX 6.5 Foundation 2",,jrra,
242,"IRIX 6.5",812-0758-002,,1998-06-01,"IRIX 6.5 Installation Tools",,jrra,2021-03-18
360,"IRIX 6.5",812-0757-004,,2002-11-01,"IRIX Development Foundation 1.3","requires IRIX 6.5 or later","chulofiasco, courtesy the library of Zerolapse",2021-08-26
350,"IRIX 6.5.1",812-0819-001,,1998-08-01,"IRIX 6.5.1 2 of 2 Overlays August 1998",,jrra,2021-06-11
349,"IRIX 6.5.1",812-0825-001,,1998-08-01,"Varsity Update 1 of 1 August 1998","for IRIX 6.2, 6.3, 6.4 and 6.5",jrra,2021-06-11
124,"IRIX 6.5.2",812-0779-002,,1998-11-01,"IRIX 6.5.2 Base Documentation",,jrra,
100,"IRIX 6.5.2",812-0818-002,,1998-11-01,"IRIX 6.5.2 Installation Tools and Overlays (1 of 2)",,jrra,
101,"IRIX 6.5.2",812-0819-002,,1998-11-01,"IRIX 6.5.2 Overlays (2 of 2)",,jrra,
196,"IRIX 6.5.3",812-0779-003,,1999-02-01,"IRIX 6.5.3 Base Documentation",,jrra,
107,"IRIX 6.5.3",812-0818-003,,1999-02-01,"IRIX 6.5.3 Installation Tools and Overlays (1 of 2)",,jrra,
106,"IRIX 6.5.3",812-0819-003,,1999-02-01,"IRIX 6.5.3 Overlays (2 of 2)",,jrra,
215,"IRIX 6.5.4",812-0877-003,,1999-05-01,"IRIX 6.5 Applications May 1999",,jrra,2020-08-21
108,"IRIX 6.5.4",812-0818-004,,1999-05-01,"IRIX 6.5.4 Installation Tools and Overlays (1 of 2)",,jrra,
109,"IRIX 6.5.4",812-0819-004,,1999-05-01,"IRIX 6.5.4 Overlays (2 of 2)",,jrra,
216,"IRIX 6.5.4",812-0790-003,,1999-05-01,"WorldView Japanese 6.5.4",,jrra,2020-08-21
129,"IRIX 6.5.5",812-0779-005,,1999-08-01,"IRIX 6.5.5 Base Documentation",,jrra,
98,"IRIX 6.5.5",812-0818-005,,1999-08-01,"IRIX 6.5.5 Installation Tools and Overlays (1 of 2)",,jrra,
99,"IRIX 6.5.5",812-0819-005,,1999-08-01,"IRIX 6.5.5 Overlays (2 of 2)",,jrra,
153,"IRIX 6.5.6",812-0877-005,,1999-11-01,"IRIX 6.5 Applications November 1999",,jrra,
154,"IRIX 6.5.6",812-0779-006,,1999-11-01,"IRIX 6.5.6 Base Documentation",,jrra,
151,"IRIX 6.5.6",812-0818-006,,1999-11-01,"IRIX 6.5.6 Installation Tools and Overlays (1 of 2)",,jrra,
152,"IRIX 6.5.6",812-0819-006,,1999-11-01,"IRIX 6.5.6 Overlays (2 of 2)",,jrra,
33,"IRIX 6.5.7",812-0877-006,,2000-02-01,"IRIX 6.5 Applications February 2000",,jrra,
52,"IRIX 6.5.7",812-0779-007,,2000-02-01,"IRIX 6.5.7 Base Documentation",,jrra,
53,"IRIX 6.5.7",812-0818-007,,2000-02-01,"IRIX 6.5.7 Installation Tools and Overlays (1 of 2)",,jrra,
54,"IRIX 6.5.7",812-0819-007,,2000-02-01,"IRIX 6.5.7 Overlays (2 of 2)",,jrra,
86,"IRIX 6.5.8",812-0877-007,,2000-05-01,"IRIX 6.5 Applications May 2000",,,
83,"IRIX 6.5.8",812-0818-008,,2000-05-01,"IRIX 6.5.8 Installation Tools and Overlays (1 of 3)",,,
84,"IRIX 6.5.8",812-0819-008,,2000-05-01,"IRIX 6.5.8 Overlays (2 of 3)",,,
85,"IRIX 6.5.8",812-0817-008,,2000-05-01,"IRIX 6.5.8 Overlays (3 of 3)",,,
212,"IRIX 6.5.8",812-0790-005,"013-2776-004 REV A",2000-05-01,"WorldView Japanese 6.5.8",,jrra,2020-08-21
35,"IRIX 6.5.9",812-0877-008,,2000-08-01,"IRIX 6.5 Applications August 2000",,jrra,
55,"IRIX 6.5.9",812-0779-009,,2000-08-01,"IRIX 6.5.9 Base Documentation",,jrra,
56,"IRIX 6.5.9",812-0818-009,,2000-08-01,"IRIX 6.5.9 Installation Tools and Overlays (1 of 3)",,jrra,
57,"IRIX 6.5.9",812-0819-009,,2000-08-01,"IRIX 6.5.9 Overlays (2 of 3)",,jrra,
58,"IRIX 6.5.9",812-0817-009,,2000-08-01,"IRIX 6.5.9 Overlays (3 of 3)",,jrra,
221,"IRIX 6.5.10",812-0877-009,"013-2776-006 REV A",2000-11-01,"IRIX 6.5 Applications November 2000",,jrra,2020-08-21
219,"IRIX 6.5.10",812-0818-010,"013-2776-006 REV A",2000-11-01,"IRIX 6.5.10 Installation Tools and Overlays (1 of 3)",,jrra,2020-08-21
220,"IRIX 6.5.10",812-0819-010,"013-2776-006 REV A",2000-11-01,"IRIX 6.5.10 Overlays (2 of 3)",,jrra,2020-08-21
218,"IRIX 6.5.10",812-0817-010,"013-2776-006 REV A",2000-11-01,"IRIX 6.5.10 Overlays (3 of 3)",,jrra,2020-08-21
217,"IRIX 6.5.10",812-0790-006,"013-2776-006 REV A",2000-11-01,"WorldView Japanese 6.5.10",,jrra,2020-08-21
230,"IRIX 6.5.11",812-0877-010,"013-2478-011 REV A",2001-02-01,"IRIX 6.5 Applications February 2001",,jrra,2020-08-21
228,"IRIX 6.5.11",812-0818-011,"013-2478-011 REV A",2001-02-01,"IRIX 6.5.11 Installation Tools and Overlays (1 of 3)",,jrra,2020-08-21
229,"IRIX 6.5.11",812-0819-011,"013-2478-011 REV A",2001-02-01,"IRIX 6.5.11 Overlays (2 of 3)",,jrra,2020-08-21
227,"IRIX 6.5.11",812-0817-011,"013-2478-011 REV A",2001-02-01,"IRIX 6.5.11 Overlays (3 of 3)",,jrra,2020-08-21
226,"IRIX 6.5.12",812-0877-011,"013-2776-007 REV A",2001-05-01,"IRIX 6.5 Applications May 2001",,jrra,2020-08-21
224,"IRIX 6.5.12",812-0818-012,"013-2776-007 REV A",2001-05-01,"IRIX 6.5.12 Installation Tools and Overlays (1 of 3)",,jrra,2020-08-21
225,"IRIX 6.5.12",812-0819-012,"013-2776-007 REV A",2001-05-01,"IRIX 6.5.12 Overlays (2 of 3)",,jrra,2020-08-21
223,"IRIX 6.5.12",812-0817-012,"013-2776-007 REV A",2001-05-01,"IRIX 6.5.12 Overlays (3 of 3)",,jrra,2020-08-21
222,"IRIX 6.5.12",812-0790-007,"013-2776-007 REV A",2001-05-01,"WorldView Japanese 6.5.12",,jrra,2020-08-21
234,"IRIX 6.5.13",812-0877-012,"013-2478-013 REV A",2001-08-01,"IRIX 6.5 Applications August 2001",,jrra,2020-08-21
232,"IRIX 6.5.13",812-0818-013,"013-2478-013 REV A",2001-08-01,"IRIX 6.5.13 Installation Tools and Overlays (1 of 3)",,jrra,2020-08-21
233,"IRIX 6.5.13",812-0819-013,"013-2478-013 REV A",2001-08-01,"IRIX 6.5.13 Overlays (2 of 3)",,jrra,2020-08-21
231,"IRIX 6.5.13",812-0817-013,"013-2478-013 REV A",2001-08-01,"IRIX 6.5.13 Overlays (3 of 3)",,jrra,2020-08-21
195,"IRIX 6.5.14",812-0779-014,,2001-11-01,"IRIX 6.5.14 Base Documentation",,jrra,
128,"IRIX 6.5.15",812-0779-015,,2002-02-01,"IRIX 6.5.15 Base Documentation",,jrra,
89,"IRIX 6.5.16",812-0877-016,,2002-05-01,"IRIX 6.5 Applications May 2002",,jrra,
90,"IRIX 6.5.16",812-0818-016,,2002-05-01,"IRIX 6.5.16 Installation Tools and Overlays (1 of 4)",,jrra,
91,"IRIX 6.5.16",812-0819-016,,2002-05-01,"IRIX 6.5.16 Overlays (2 of 4)",,jrra,
92,"IRIX 6.5.16",812-0817-016,,2002-05-01,"IRIX 6.5.16 Overlays (3 of 4)",,jrra,
93,"IRIX 6.5.16",812-1123-016,,2002-05-01,"IRIX 6.5.16 Overlays (4 of 4)",,jrra,
34,"IRIX 6.5.19",812-0877-019,,2003-02-01,"IRIX 6.5 Applications February 2003",,jrra,
41,"IRIX 6.5.19",812-0779-019,,2003-02-01,"IRIX 6.5.19 Base Documentation",,jrra,
42,"IRIX 6.5.19",812-0818-019,,2003-02-01,"IRIX 6.5.19 Installation Tools and Overlays (1 of 4)",,jrra,
43,"IRIX 6.5.19",812-0819-019,,2003-02-01,"IRIX 6.5.19 Overlays (2 of 4)",,jrra,
44,"IRIX 6.5.19",812-0817-019,,2003-02-01,"IRIX 6.5.19 Overlays (3 of 4)",,jrra,
45,"IRIX 6.5.19",812-1123-019,,2003-02-01,"IRIX 6.5.19 Overlays (4 of 4)",,jrra,
238,"IRIX 6.5.20",812-0818-020,,2003-05-01,"IRIX 6.5.20 Installation Tools and Overlays (1 of 4)",,jrra,2021-03-18
239,"IRIX 6.5.20",812-0819-020,,2003-05-01,"IRIX 6.5.20 Overlays (2 of 4)",,jrra,2021-03-18
240,"IRIX 6.5.20",812-0817-020,,2003-05-01,"IRIX 6.5.20 Overlays (3 of 4)",,jrra,2021-03-18
241,"IRIX 6.5.20",812-1123-020,,2003-05-01,"IRIX 6.5.20 Overlays (4 of 4)",,jrra,2021-03-18
399,"IRIX 6.5.27",812-0877-027,,2005-02-01,"IRIX 6.5 Applications February 2005",,jrra,2022-01-23
400,"IRIX 6.5.27",812-1180-027,,2005-02-01,"IRIX 6.5 Complementary Applications February 2005",,jrra,2022-01-23
398,"IRIX 6.5.27",812-0779-027,,2005-02-01,"IRIX 6.5.27 Base Documentation",,jrra,2022-01-23
46,"IRIX 6.5.27",812-0818-027,,2005-02-01,"IRIX 6.5.27 Installation Tools and Overlays (1 of 3)",,jrra,
47,"IRIX 6.5.27",812-0819-027,,2005-02-01,"IRIX 6.5.27 Overlays (2 of 3)",,jrra,
48,"IRIX 6.5.27",812-0817-027,,2005-02-01,"IRIX 6.5.27 Overlays (3 of 3)",,jrra,
344,"IRIX 6.5.28",812-0877-028,,2005-08-01,"IRIX 6.5 Applications August 2005",,jrra,2021-06-04
345,"IRIX 6.5.28",812-1180-028,,2005-08-01,"IRIX 6.5 Complementary Applications August 2005",,jrra,2021-06-04
343,"IRIX 6.5.28",812-0779-028,,2005-08-01,"IRIX 6.5.28 Base Documentation",,jrra,2021-06-04
49,"IRIX 6.5.28",812-0818-028,,2005-08-01,"IRIX 6.5.28 Installation Tools and Overlays (1 of 3)",,jrra,
50,"IRIX 6.5.28",812-0819-028,,2005-08-01,"IRIX 6.5.28 Overlays (2 of 3)",,jrra,
51,"IRIX 6.5.28",812-0817-028,,2005-08-01,"IRIX 6.5.28 Overlays (3 of 3)",,jrra,
405,"IRIX 6.5.29",812-0877-029,,2006-02-01,"IRIX 6.5 Applications February 2006",,chulofiasco,2022-01-23
406,"IRIX 6.5.29",812-1180-029,,2006-02-01,"IRIX 6.5 Complementary Applications February 2006",,chulofiasco,2022-01-23
401,"IRIX 6.5.29",812-0779-029,,2006-02-01,"IRIX 6.5.29 Base Documentation",,chulofiasco,2022-01-23
402,"IRIX 6.5.29",812-0818-029,,2006-02-01,"IRIX 6.5.29 Installation Tools and Overlays (1 of 3)",,chulofiasco,2022-01-23
403,"IRIX 6.5.29",812-0819-029,,2006-02-01,"IRIX 6.5.29 Overlays (2 of 3)",,chulofiasco,2022-01-23
404,"IRIX 6.5.29",812-0817-029,,2006-02-01,"IRIX 6.5.29 Overlays (3 of 3)",,chulofiasco,2022-01-23
293,Uncategorized,812-0268-002,813-0268-002,1995-06-01,"AXM5 6.2.3",,jrra,2021-05-23
280,Uncategorized,,"",1997,"Adobe Premier 4.2","for O2 with IRIX 6.3 or later",jrra,2021-05-23
275,Uncategorized,812-0346-002,812-0346-002,1995-09-01,"Audio Serial Option 1.1",,jrra,2021-05-23
161,Uncategorized,,,1992-04-01,"CASEVision WorkShop 1.1 Demonstration Disc","possibly a beta release",jrra,
162,Uncategorized,812-0228-003,,1994-03-01,"CASEVision WorkShop 2.2",,jrra,
296,Uncategorized,812-0285-001,812-0285-001,1994-09-01,"Cosmo Compress 1.0 for Indy",,jrra,2021-05-23
202,Uncategorized,812-0776-001,,1998-07-01,"Database Accelerator 3.0","for IRIX 6.5",jrra,
111,Uncategorized,812-0410-001,,1995-08-01,"Desktop Special Edition 1.0",,jrra,
112,Uncategorized,812-0441-001,,1995-09-01,"Desktop Special Edition 1.0 for Support Customers",,jrra,
96,Uncategorized,812-0410-002,,1995-11-01,"Desktop Special Edition 1.1",,jrra,
114,Uncategorized,812-0980-002,,2000-11-01,"Developer Tools Maintenance Release 7.3.1.2m",,jrra,
211,Uncategorized,812-0980-003,,2001-12-01,"Developer Tools Maintenance Release 7.3.1.3m",,jrra,2020-07-14
206,Uncategorized,812-0739-003,,1998-07-01,"EnlightenDSM 1.1","for UNIX and NT",jrra,
4,Uncategorized,812-0739-004,,1999-05-01,"EnlightenDSM 3.1 for UNIX and NT",,jrra,
336,Uncategorized,812-0855-001,"",1998-08-01,"Enterprise and Host Resources MIB for SNMP Managers 1.0","for IRIX 6.2, 6.3, 6.4, and 6.5",jrra,2021-05-23
175,Uncategorized,812-0028-004,,1992-11-01,"FDDIXPress 3.0.1",,jrra,
236,Uncategorized,812-0249-001,812-0249-001,1993-11-01,"FDDIXPress 3.0.4",,jrra,2020-10-15
292,Uncategorized,812-0576-001,813-0576-001,1996-06-01,"GIO Fast Ethernet 1.0 for IRIX 5.3 and 2.0 for IRIX 6.2",,jrra,2021-05-23
272,Uncategorized,812-0396-001,812-0396-001,1995-08-01,"Galileo 5.2 through 6.1",,jrra,2021-05-23
80,Uncategorized,812-0071-001,,1991-12-01,"IRIS Explorer 1.0",,jrra,
298,Uncategorized,812-0306-003,813-0306-003,1995-07-01,"IRIS HIPPI 2.1",,jrra,2021-05-23
264,Uncategorized,812-0114-001,812-0114-001,1992-10-01,"IRIS InSight 1.0 Viewer & Doc Library",,jrra,2021-05-23
135,Uncategorized,,,,"IRIS InSight Preview","Also including IRIS Explorer 2.0, IRIS Showcase 3.0, IRIS Inventor EOE 1.0.1, IRIS InSight 2.0",jrra,
163,Uncategorized,812-0096-001,,1992-06-01,"IRIS Media Mosaic 1.0","Install only on Indigo, 4D/30 and 4D/35",jrra,
300,Uncategorized,812-0333-002,813-0333-002,1995-04-01,"IRIXpro System Admin. 1.0",,jrra,2021-05-23
186,Uncategorized,812-0526-002,813-0526-002,1996-06-01,"Impact Digital Media 2.1",,jrra,
14,Uncategorized,812-0098-003,812-0098-003,1993-05-01,"Impressario 1.1 Server",,jrra,
134,Uncategorized,812-0246-001,,1994-03-01,"InPerson 1.0 (March 1994)",,jrra,
97,Uncategorized,812-0286-001,,1994-05-01,"InPerson 1.0 (May 1994)",,jrra,
133,Uncategorized,812-0246-002,,1994-11-01,"InPerson 1.1",,jrra,
277,Uncategorized,,"",1993,"Indigo Live","for IRIX 4.0.1 or later with Showcase 2.1.1 or later on an Indigo workstation",jrra,2021-05-23
282,Uncategorized,812-0226-003,"",1994-03-01,"Japanese Language Module 3.2",,jrra,2021-05-23
263,Uncategorized,812-0115-001,812-0115-001,1993-03-01,"MPXM 6.2",,jrra,2021-05-23
294,Uncategorized,812-0269-002,813-0269-002,1995-06-01,"MPXM5 6.2.3",,jrra,2021-05-23
312,Uncategorized,812-0811-001,"",2000-05-01,"MultiLink Adapter Documentation",,jrra,2021-05-23
188,Uncategorized,812-0220-001,812-0220-001,1994-05-01,"NetVisualyzer Data Station 2.1",,jrra,
204,Uncategorized,812-0713-002,,1998-03-01,"NetWorker 4.2.5","for IRIX 5.3, 6.2, 6.3, 6.4",jrra,
203,Uncategorized,812-0404-001,,1997-11-01,"O2 CPU Upgrade Video 1.0","Playable on IRIX 6.2 and 6.3",jrra,
347,Uncategorized,812-0781-001,,1998-06-01,"OCTANE Demos 1.2","for IRIX 6.5",jrra,2021-06-11
207,Uncategorized,812-0705-001,813-0705-001,1997-11-01,"OCTANE Personal Video 1.0","for IRIX 6.4",jrra,2020-07-14
122,Uncategorized,812-0305-009,,1997-02-01,"ONC3/NFS Version 2","for IRIX 6.2, 6.3 and 6.4",jrra,
67,Uncategorized,812-0774-002,,1999-05-01,"ONC3/NFS Version 3","for IRIX 6.2, 6.3, 6.4 and 6.5",jrra,
244,Uncategorized,812-0774-001,,1998-06-01,"ONC3/NFS Version 3","for IRIX 6.2, 6.3, 6.4, and 6.5",jrra,2021-03-18
271,Uncategorized,812-0386-001,812-0386-001,1995-06-01,"Oracle Parallel Server Bundle 1.0",,jrra,2021-05-23
105,Uncategorized,812-0642-001,,1997-04-01,"PCP for Monitoring Origin Systems 1.1","for IRIX 5.3, 6.2, 6.3, 6.4",jrra,
198,Uncategorized,812-0642-002,,1997-04-01,"PCP for Monitoring Origin Systems 1.1","for IRIX 5.3, 6.2, 6.3, 6.4",jrra,
119,Uncategorized,812-0345-005,,1998-03-01,"Performance Co-Pilot 2.0","for IRIX 5.3, 6.2, 6.3, 6.4 and 6.5",jrra,
301,Uncategorized,812-0405-001,813-0405-001,1995-07-01,"REACT 2.0",,jrra,2021-05-23
245,Uncategorized,812-0783-001,,1998-06-01,"SNMP Access to HP-UX MIB 1.1.2","for IRIX 6.2, 6.3, 6.4, and 6.5",jrra,2021-03-18
72,Uncategorized,812-0783-002,,1999-12-01,"SNMP Access to HP-UX MIB 1.1.3","for IRIX 6.5 and later",jrra,
356,Uncategorized,812-0690-001,,1997-08-01,"SoftWindows 95 4.0","for IRIX 6.3 and 6.4",jrra,2021-06-18
346,Uncategorized,812-0690-002,,1998-06-01,"SoftWindows 95 5.0","for IRIX 6.5",jrra,2021-06-11
79,Uncategorized,812-0881-001,,1998-11-01,"Teleffect 1.0","for IRIX 6.2, 6.3, 6.4, 6.5 and Microsoft NT 4.0",jrra,
160,Uncategorized,,,1995,"TriTeal Enterprise Desktop","Silicon Graphics IRIX 5.3",jrra,
278,Uncategorized,,"",1992,VisualMagic,,jrra,2021-05-23
274,Uncategorized,812-0277-001,812-0277-001,1994-03-01,"Vseries 1.0 for IRIX 5.2",,jrra,2021-05-23
191,"Apr. 1996",812-0543-001,813-0543-001,1996-04-01,"Freeware 2.0","Unsupported software compatible with IRIX 6.2 and later",jrra,
155,"Nov. 1999",812-0773-006,,1999-11-01,"Freeware (part 1 of 2)",,jrra,
156,"Nov. 1999",812-0964-006,,1999-11-01,"Freeware (part 2 of 2)",,jrra,
5,"Feb. 2000",812-0773-007,,2000-02-01,"Freeware (part 1 of 2)",,jrra,
8,"Feb. 2000",812-0964-007,,2000-02-01,"Freeware (part 2 of 2)",,jrra,
87,"May 2000",812-0773-008,,2000-05-01,"Freeware (part 1 of 2)",,,
88,"May 2000",812-0964-008,,2000-05-01,"Freeware (part 2 of 2)",,,
6,"Aug. 2000",812-0773-009,,2000-08-01,"Freeware (part 1 of 2)",,jrra,
9,"Aug. 2000",812-0964-009,,2000-08-01,"Freeware (part 2 of 2)",,jrra,
127,"May 2002",812-1085-016,,2002-05-01,"Freeware (part 3 of 3)",,jrra,
7,"Feb. 2003",812-0773-019,,2003-02-01,"Freeware (part 1 of 4)",,jrra,
10,"Feb. 2003",812-0964-019,,2003-02-01,"Freeware (part 2 of 4)",,jrra,
11,"Feb. 2003",812-1085-019,,2003-02-01,"Freeware (part 3 of 4)",,jrra,
12,"Feb. 2003",812-1137-019,,2003-02-01,"Freeware (part 4 of 4)",,jrra,
